[-2.24862,-1.69806]
[-2.24643,-1.69594]
[-2.24425,-1.69383]
[-2.24208,-1.69172]
[-2.2399,-1.68961]
[-2.23773,-1.68751]
[-2.23556,-1.68541]
[-2.23339,-1.68331]
[-2.23123,-1.68121]
[-2.22907,-1.67911]
[-2.22691,-1.67702]
[-2.22475,-1.67493]
[-2.2226,-1.67284]
[-2.22044,-1.67075]
[-2.2183,-1.66867]
[-2.21615,-1.66659]
[-2.21401,-1.66451]
[-2.21186,-1.66243]
[-2.20972,-1.66036]
[-2.20759,-1.65829]
[-2.20545,-1.65622]
[-2.20332,-1.65415]
[-2.20119,-1.65209]
[-2.19907,-1.65002]
[-2.19694,-1.64796]
[-2.19482,-1.6459]
[-2.1927,-1.64385]
[-2.19059,-1.64179]
[-2.18847,-1.63974]
[-2.18636,-1.63769]
[-2.18425,-1.63565]
[-2.18214,-1.6336]
[-2.18004,-1.63156]
[-2.17794,-1.62952]
[-2.17584,-1.62748]
[-2.17374,-1.62545]
[-2.17164,-1.62341]
[-2.16955,-1.62138]
[-2.16746,-1.61935]
[-2.16537,-1.61733]
[-2.16329,-1.6153]
[-2.1612,-1.61328]
[-2.15912,-1.61126]
[-2.15704,-1.60924]
[-2.15497,-1.60722]
[-2.15289,-1.60521]
[-2.15082,-1.6032]
[-2.14875,-1.60119]
[-2.14669,-1.59918]
[-2.14462,-1.59718]
[-2.14256,-1.59517]
[-2.1405,-1.59317]
[-2.13844,-1.59117]
[-2.13638,-1.58918]
[-2.13433,-1.58718]
[-2.13228,-1.58519]
[-2.13023,-1.5832]
[-2.12818,-1.58121]
[-2.12614,-1.57922]
[-2.1241,-1.57724]
[-2.12206,-1.57526]
[-2.12002,-1.57328]
[-2.11798,-1.5713]
[-2.11595,-1.56932]
[-2.11392,-1.56735]
[-2.11189,-1.56538]
[-2.10986,-1.56341]
[-2.10784,-1.56144]
[-2.10581,-1.55947]
[-2.10379,-1.55751]
[-2.10178,-1.55555]
[-2.09976,-1.55359]
[-2.09775,-1.55163]
[-2.09573,-1.54967]
[-2.09372,-1.54772]
[-2.09172,-1.54577]
[-2.08971,-1.54382]
[-2.08771,-1.54187]
[-2.08571,-1.53992]
[-2.08371,-1.53798]
[-2.08171,-1.53604]
[-2.07971,-1.5341]
[-2.07772,-1.53216]
[-2.07573,-1.53022]
[-2.07374,-1.52829]
[-2.07176,-1.52635]
[-2.06977,-1.52442]
[-2.06779,-1.52249]
[-2.06581,-1.52057]
[-2.06383,-1.51864]
[-2.06185,-1.51672]
[-2.05988,-1.5148]
[-2.05791,-1.51288]
[-2.05594,-1.51096]
[-2.05397,-1.50905]
[-2.052,-1.50713]
[-2.05004,-1.50522]
[-2.04807,-1.50331]
[-2.04611,-1.5014]
[-2.04415,-1.4995]
[-2.0422,-1.49759]
[-2.04024,-1.49569]
[-2.03829,-1.49379]
[-2.03634,-1.49189]
[-2.03439,-1.48999]
[-2.03245,-1.4881]
[-2.0305,-1.48621]
[-2.02856,-1.48431]
[-2.02662,-1.48242]
[-2.02468,-1.48054]
[-2.02274,-1.47865]
[-2.02081,-1.47677]
[-2.01887,-1.47488]
[-2.01694,-1.473]
[-2.01501,-1.47112]
[-2.01309,-1.46925]
[-2.01116,-1.46737]
[-2.00924,-1.4655]
[-2.00731,-1.46363]
[-2.00539,-1.46176]
