[-3.17417,-2.5324]
[-3.16871,-2.52731]
[-3.16326,-2.52223]
[-3.15784,-2.51718]
[-3.15244,-2.51214]
[-3.14706,-2.50712]
[-3.1417,-2.50213]
[-3.13636,-2.49715]
[-3.13105,-2.49219]
[-3.12575,-2.48725]
[-3.12047,-2.48232]
[-3.11521,-2.47742]
[-3.10998,-2.47254]
[-3.10476,-2.46767]
[-3.09956,-2.46282]
[-3.09438,-2.458]
[-3.08923,-2.45318]
[-3.08409,-2.44839]
[-3.07897,-2.44362]
[-3.07387,-2.43886]
[-3.06879,-2.43412]
[-3.06373,-2.42941]
[-3.05869,-2.4247]
[-3.05367,-2.42002]
[-3.04867,-2.41535]
[-3.04368,-2.4107]
[-3.03872,-2.40607]
[-3.03377,-2.40146]
[-3.02884,-2.39686]
[-3.02394,-2.39229]
[-3.01905,-2.38772]
[-3.01417,-2.38318]
[-3.00932,-2.37865]
[-3.00449,-2.37414]
[-2.99967,-2.36965]
[-2.99487,-2.36517]
[-2.99009,-2.36072]
